count	serotype	accessionNumber	comments	reference	referenceUrl	cpsImage	cpsRemark	genBankFile	poolSerum	typeSerum	groupSerum	factorSerum	otherSerum	otherSerumRemark	antiserumNote	capsularStructureImage	capsularStructureRemark
-	11X	MK606429	putative novel serotype based on nucleotide sequence encoding pneumococcal capsule	van Tonder et al 2019 Mgen	https://doi.org/10.1099/mgen.0.000274	serotype_11X_cps.svg	-	res/serotype_genbank/serotype_11X.gb	-	-	-	-	-	-	-	-	-
-	16X	MK606430	putative novel serotype based on nucleotide sequence encoding pneumococcal capsule	van Tonder et al 2019 Mgen	https://doi.org/10.1099/mgen.0.000274	serotype_16X_cps.svg	-	res/serotype_genbank/serotype_16X.gb	-	-	-	-	-	-	-	-	-
-	18X1	MK606431	putative novel serotype based on nucleotide sequence encoding pneumococcal capsule	van Tonder et al 2019 Mgen	https://doi.org/10.1099/mgen.0.000274	serotype_18X1_cps.svg	-	res/serotype_genbank/serotype_18X1.gb	-	-	-	-	-	-	-	-	-
-	18X2	MK606432	putative novel serotype based on nucleotide sequence encoding pneumococcal capsule	van Tonder et al 2019 Mgen	https://doi.org/10.1099/mgen.0.000274	serotype_18X2_cps.svg	-	res/serotype_genbank/serotype_18X2.gb	-	-	-	-	-	-	-	-	-
-	18X3	MK606433	putative novel serotype based on nucleotide sequence encoding pneumococcal capsule	van Tonder et al 2019 Mgen	https://doi.org/10.1099/mgen.0.000274	serotype_18X3_cps.svg	-	res/serotype_genbank/serotype_18X3.gb	-	-	-	-	-	-	-	-	-
-	29X	MK606434	putative novel serotype based on nucleotide sequence encoding pneumococcal capsule	van Tonder et al 2019 Mgen	https://doi.org/10.1099/mgen.0.000274	serotype_29X_cps.svg	-	res/serotype_genbank/serotype_29X.gb	-	-	-	-	-	-	-	-	-
-	Group I nonencapsulated 	-	do not produce capsule due to mutations or deletion of genes encoding capsule 	Hathaway et al 2014 J Bacteriology	https://doi.org/10.1128/JB.186.12.3721-3729.2004	-	-	-	-	-	-	-	-	-	-	-	N/A - Nonencapsulated
-	Group II nonencapsulated - NCC1 <i>pspK</i>	JF489996	do not produce capsule due to novel genes in place of genes encoding capsule	Park et al 2012 mBio	https://doi.org/10.1128/mbio.00035-12	group_II_nonencapsulated-NCC1_pspK.svg	-	-	-	-	-	-	-	-	-	-	N/A - Nonencapsulated
-	Group II nonencapsulated - NCC2 <i>aliC aliD</i>	HE651292	do not produce capsule due to novel genes in place of genes encoding capsule	"Park et al 2012 mBio,Salter et al 2012 Microbiology (Reading)"	"https://doi.org/10.1128/mbio.00035-12,https://doi.org/10.1099/mic.0.056580-0"	group_II_nonencapsulated-NCC2_aliC_aliD.svg	-	-	-	-	-	-	-	-	-	-	N/A - Nonencapsulated
-	Group II nonencapsulated - NCC2 <i>S. mitis aliC aliD</i>	HE651274	do not produce capsule due to novel genes in place of genes encoding capsule	"Park et al 2012 mBio,Salter et al 2012 Microbiology (Reading)"	"https://doi.org/10.1128/mbio.00035-12,https://doi.org/10.1099/mic.0.056580-0"	group_II_nonencapsulated-NCC2_S_mitis_aliC_aliD.svg	-	-	-	-	-	-	-	-	-	-	N/A - Nonencapsulated
-	Group II nonencapsulated - NCC3 <i>aliD</i>	JF490008	do not produce capsule due to novel genes in place of genes encoding capsule	Park et al 2012 mBio	https://doi.org/10.1128/mbio.00035-12	group_II_nonencapsulated-NCC3_aliD.svg	-	-	-	-	-	-	-	-	-	-	N/A - Nonencapsulated
